DrugBank ID,Name,Drug Type
DB00244,Mesalazine,SmallMoleculeDrug
DB00245,Benzatropine,SmallMoleculeDrug
DB00246,Ziprasidone,SmallMoleculeDrug
DB00247,Methysergide,SmallMoleculeDrug
DB00248,Cabergoline,SmallMoleculeDrug
DB00249,Idoxuridine,SmallMoleculeDrug
DB00250,Dapsone,SmallMoleculeDrug
DB00251,Terconazole,SmallMoleculeDrug
DB00252,Phenytoin,SmallMoleculeDrug
DB00253,Medrysone,SmallMoleculeDrug
DB00254,Doxycycline,SmallMoleculeDrug
DB00255,Diethylstilbestrol,SmallMoleculeDrug
DB00256,Lymecycline,SmallMoleculeDrug
DB00257,Clotrimazole,SmallMoleculeDrug
DB00258,Calcium acetate,SmallMoleculeDrug
DB00259,Sulfanilamide,SmallMoleculeDrug
DB00260,Cycloserine,SmallMoleculeDrug
DB00261,Anagrelide,SmallMoleculeDrug
DB00262,Carmustine,SmallMoleculeDrug
DB00263,Sulfisoxazole,SmallMoleculeDrug
DB00264,Metoprolol,SmallMoleculeDrug
DB00265,Crotamiton,SmallMoleculeDrug
DB00266,Dicoumarol,SmallMoleculeDrug
DB00267,Cefmenoxime,SmallMoleculeDrug
DB00268,Ropinirole,SmallMoleculeDrug
DB00269,Chlorotrianisene,SmallMoleculeDrug
DB00270,Isradipine,SmallMoleculeDrug
DB00271,Diatrizoate,SmallMoleculeDrug
DB00272,Betazole,SmallMoleculeDrug
DB00273,Topiramate,SmallMoleculeDrug
DB00274,Cefmetazole,SmallMoleculeDrug
DB00275,Olmesartan,SmallMoleculeDrug
DB00276,Amsacrine,SmallMoleculeDrug
DB00277,Theophylline,SmallMoleculeDrug
DB00278,Argatroban,SmallMoleculeDrug
DB00279,Liothyronine,SmallMoleculeDrug
DB00280,Disopyramide,SmallMoleculeDrug
DB00281,Lidocaine,SmallMoleculeDrug
DB00282,Pamidronic acid,SmallMoleculeDrug
DB00283,Clemastine,SmallMoleculeDrug
DB00284,Acarbose,SmallMoleculeDrug
DB00285,Venlafaxine,SmallMoleculeDrug
DB00286,Conjugated estrogens,SmallMoleculeDrug
DB00287,Travoprost,SmallMoleculeDrug
DB00288,Amcinonide,SmallMoleculeDrug
DB00289,Atomoxetine,SmallMoleculeDrug
DB00290,Bleomycin,SmallMoleculeDrug
DB00291,Chlorambucil,SmallMoleculeDrug
DB00292,Etomidate,SmallMoleculeDrug
DB00293,Raltitrexed,SmallMoleculeDrug
DB00294,Etonogestrel,SmallMoleculeDrug
DB00295,Morphine,SmallMoleculeDrug
DB00296,Ropivacaine,SmallMoleculeDrug
DB00297,Bupivacaine,SmallMoleculeDrug
DB00298,Dapiprazole,SmallMoleculeDrug
DB00299,Penciclovir,SmallMoleculeDrug
DB00300,Tenofovir disoproxil,SmallMoleculeDrug
DB00301,Flucloxacillin,SmallMoleculeDrug
DB00302,Tranexamic acid,SmallMoleculeDrug
DB00303,Ertapenem,SmallMoleculeDrug
DB00304,Desogestrel,SmallMoleculeDrug
DB00305,Mitomycin,SmallMoleculeDrug
DB00306,Talbutal,SmallMoleculeDrug
DB00307,Bexarotene,SmallMoleculeDrug
DB00308,Ibutilide,SmallMoleculeDrug
DB00309,Vindesine,SmallMoleculeDrug
DB00310,Chlorthalidone,SmallMoleculeDrug
DB00311,Ethoxzolamide,SmallMoleculeDrug
DB00312,Pentobarbital,SmallMoleculeDrug
DB00313,Valproic acid,SmallMoleculeDrug
DB00314,Capreomycin,SmallMoleculeDrug
DB00315,Zolmitriptan,SmallMoleculeDrug
DB00316,Acetaminophen,SmallMoleculeDrug
DB00317,Gefitinib,SmallMoleculeDrug
DB00318,Codeine,SmallMoleculeDrug
DB00319,Piperacillin,SmallMoleculeDrug
DB00320,Dihydroergotamine,SmallMoleculeDrug
DB00321,Amitriptyline,SmallMoleculeDrug
DB00322,Floxuridine,SmallMoleculeDrug
DB00323,Tolcapone,SmallMoleculeDrug
DB00324,Fluorometholone,SmallMoleculeDrug
DB00325,Nitroprusside,SmallMoleculeDrug
DB00326,Calcium glucoheptonate,SmallMoleculeDrug
DB00327,Hydromorphone,SmallMoleculeDrug
DB00328,Indomethacin,SmallMoleculeDrug
DB00330,Ethambutol,SmallMoleculeDrug
DB00331,Metformin,SmallMoleculeDrug
DB00332,Ipratropium,SmallMoleculeDrug
DB00333,Methadone,SmallMoleculeDrug
DB00334,Olanzapine,SmallMoleculeDrug
DB00335,Atenolol,SmallMoleculeDrug
DB00336,Nitrofural,SmallMoleculeDrug
DB00337,Pimecrolimus,SmallMoleculeDrug
DB00338,Omeprazole,SmallMoleculeDrug
DB00339,Pyrazinamide,SmallMoleculeDrug
DB00340,Metixene,SmallMoleculeDrug
DB00341,Cetirizine,SmallMoleculeDrug
DB00342,Terfenadine,SmallMoleculeDrug
DB00343,Diltiazem,SmallMoleculeDrug
DB00344,Protriptyline,SmallMoleculeDrug
DB00345,Aminohippuric acid,SmallMoleculeDrug
DB00346,Alfuzosin,SmallMoleculeDrug
DB00347,Trimethadione,SmallMoleculeDrug
DB00348,Nitisinone,SmallMoleculeDrug
DB00349,Clobazam,SmallMoleculeDrug
DB00350,Minoxidil,SmallMoleculeDrug
DB00351,Megestrol acetate,SmallMoleculeDrug
DB00352,Tioguanine,SmallMoleculeDrug
DB00353,Methylergometrine,SmallMoleculeDrug
DB00354,Buclizine,SmallMoleculeDrug
DB00355,Aztreonam,SmallMoleculeDrug
DB00356,Chlorzoxazone,SmallMoleculeDrug
DB00357,Aminoglutethimide,SmallMoleculeDrug
DB00358,Mefloquine,SmallMoleculeDrug
DB00359,Sulfadiazine,SmallMoleculeDrug
DB00360,Sapropterin,SmallMoleculeDrug
DB00361,Vinorelbine,SmallMoleculeDrug
DB00362,Anidulafungin,SmallMoleculeDrug
DB00363,Clozapine,SmallMoleculeDrug
DB00364,Sucralfate,SmallMoleculeDrug
DB00365,Grepafloxacin,SmallMoleculeDrug
DB00366,Doxylamine,SmallMoleculeDrug
DB00367,Levonorgestrel,SmallMoleculeDrug
DB00368,Norepinephrine,SmallMoleculeDrug
DB00369,Cidofovir,SmallMoleculeDrug
DB00370,Mirtazapine,SmallMoleculeDrug
DB00371,Meprobamate,SmallMoleculeDrug
DB00372,Thiethylperazine,SmallMoleculeDrug
DB00373,Timolol,SmallMoleculeDrug
DB00374,Treprostinil,SmallMoleculeDrug
DB00375,Colestipol,SmallMoleculeDrug
DB00376,Trihexyphenidyl,SmallMoleculeDrug
DB00377,Palonosetron,SmallMoleculeDrug
DB00378,Dydrogesterone,SmallMoleculeDrug
DB00379,Mexiletine,SmallMoleculeDrug
DB00380,Dexrazoxane,SmallMoleculeDrug
DB00381,Amlodipine,SmallMoleculeDrug
DB00382,Tacrine,SmallMoleculeDrug
DB00383,Oxyphencyclimine,SmallMoleculeDrug
DB00384,Triamterene,SmallMoleculeDrug
DB00385,Valrubicin,SmallMoleculeDrug
DB00387,Procyclidine,SmallMoleculeDrug
DB00388,Phenylephrine,SmallMoleculeDrug
DB00389,Carbimazole,SmallMoleculeDrug
DB00390,Digoxin,SmallMoleculeDrug
DB00391,Sulpiride,SmallMoleculeDrug
DB00392,Profenamine,SmallMoleculeDrug
DB00393,Nimodipine,SmallMoleculeDrug
DB00394,Beclomethasone dipropionate,SmallMoleculeDrug
DB00395,Carisoprodol,SmallMoleculeDrug
DB00396,Progesterone,SmallMoleculeDrug
DB00397,Phenylpropanolamine,SmallMoleculeDrug
DB00398,Sorafenib,SmallMoleculeDrug
DB00399,Zoledronic acid,SmallMoleculeDrug
DB00400,Griseofulvin,SmallMoleculeDrug
DB00401,Nisoldipine,SmallMoleculeDrug
DB00402,Eszopiclone,SmallMoleculeDrug
DB00403,Ceruletide,SmallMoleculeDrug
DB00404,Alprazolam,SmallMoleculeDrug
DB00405,Dexbrompheniramine,SmallMoleculeDrug
DB00406,Gentian violet cation,SmallMoleculeDrug
DB00407,Ardeparin,SmallMoleculeDrug
DB00408,Loxapine,SmallMoleculeDrug
DB00409,Remoxipride,SmallMoleculeDrug
DB00410,Mupirocin,SmallMoleculeDrug
DB00411,Carbamoylcholine,SmallMoleculeDrug
DB00412,Rosiglitazone,SmallMoleculeDrug
DB00413,Pramipexole,SmallMoleculeDrug
DB00414,Acetohexamide,SmallMoleculeDrug
DB00415,Ampicillin,SmallMoleculeDrug
DB00416,Metocurine iodide,SmallMoleculeDrug
DB00417,Phenoxymethylpenicillin,SmallMoleculeDrug
DB00418,Secobarbital,SmallMoleculeDrug
DB00419,Miglustat,SmallMoleculeDrug
DB00420,Promazine,SmallMoleculeDrug
DB00421,Spironolactone,SmallMoleculeDrug
DB00422,Methylphenidate,SmallMoleculeDrug
DB00423,Methocarbamol,SmallMoleculeDrug
DB00424,Hyoscyamine,SmallMoleculeDrug
DB00425,Zolpidem,SmallMoleculeDrug
DB00426,Famciclovir,SmallMoleculeDrug
DB00427,Triprolidine,SmallMoleculeDrug
DB00428,Streptozocin,SmallMoleculeDrug
DB00429,Carboprost tromethamine,SmallMoleculeDrug
DB00430,Cefpiramide,SmallMoleculeDrug
DB00431,Lindane,SmallMoleculeDrug
DB00432,Trifluridine,SmallMoleculeDrug
DB00433,Prochlorperazine,SmallMoleculeDrug
DB00434,Cyproheptadine,SmallMoleculeDrug
DB00435,Nitric Oxide,SmallMoleculeDrug
DB00436,Bendroflumethiazide,SmallMoleculeDrug
DB00437,Allopurinol,SmallMoleculeDrug
DB00438,Ceftazidime,SmallMoleculeDrug
DB00439,Cerivastatin,SmallMoleculeDrug
DB00440,Trimethoprim,SmallMoleculeDrug
DB00441,Gemcitabine,SmallMoleculeDrug
DB00442,Entecavir,SmallMoleculeDrug
DB00443,Betamethasone,SmallMoleculeDrug
DB00444,Teniposide,SmallMoleculeDrug
DB00445,Epirubicin,SmallMoleculeDrug
DB00446,Chloramphenicol,SmallMoleculeDrug
DB00447,Loracarbef,SmallMoleculeDrug
DB00448,Lansoprazole,SmallMoleculeDrug
DB00449,Dipivefrin,SmallMoleculeDrug
DB00450,Droperidol,SmallMoleculeDrug
DB00451,Levothyroxine,SmallMoleculeDrug
DB00452,Framycetin,SmallMoleculeDrug
DB00453,Clomocycline,SmallMoleculeDrug
DB00454,Meperidine,SmallMoleculeDrug
DB00455,Loratadine,SmallMoleculeDrug
DB00456,Cefalotin,SmallMoleculeDrug
DB00457,Prazosin,SmallMoleculeDrug
DB00458,Imipramine,SmallMoleculeDrug
DB00459,Acitretin,SmallMoleculeDrug
DB00460,Verteporfin,SmallMoleculeDrug
DB00461,Nabumetone,SmallMoleculeDrug
DB00462,Methscopolamine bromide,SmallMoleculeDrug
DB00463,Metharbital,SmallMoleculeDrug
DB00464,Sodium tetradecyl sulfate,SmallMoleculeDrug
DB00465,Ketorolac,SmallMoleculeDrug
DB00466,Picrotoxin,SmallMoleculeDrug
DB00467,Enoxacin,SmallMoleculeDrug
DB00468,Quinine,SmallMoleculeDrug
DB00469,Tenoxicam,SmallMoleculeDrug
DB00470,Dronabinol,SmallMoleculeDrug
DB00471,Montelukast,SmallMoleculeDrug
DB00472,Fluoxetine,SmallMoleculeDrug
DB00473,Hexylcaine,SmallMoleculeDrug
DB00474,Methohexital,SmallMoleculeDrug
DB00475,Chlordiazepoxide,SmallMoleculeDrug
DB00476,Duloxetine,SmallMoleculeDrug
DB00477,Chlorpromazine,SmallMoleculeDrug
DB00478,Rimantadine,SmallMoleculeDrug
DB00479,Amikacin,SmallMoleculeDrug
DB00480,Lenalidomide,SmallMoleculeDrug
DB00481,Raloxifene,SmallMoleculeDrug
DB00482,Celecoxib,SmallMoleculeDrug
DB00483,Gallamine triethiodide,SmallMoleculeDrug
DB00484,Brimonidine,SmallMoleculeDrug
DB00485,Dicloxacillin,SmallMoleculeDrug
DB00486,Nabilone,SmallMoleculeDrug
DB00487,Pefloxacin,SmallMoleculeDrug
DB00488,Altretamine,SmallMoleculeDrug
DB00489,Sotalol,SmallMoleculeDrug
DB00490,Buspirone,SmallMoleculeDrug
DB00491,Miglitol,SmallMoleculeDrug
DB00492,Fosinopril,SmallMoleculeDrug
DB00493,Cefotaxime,SmallMoleculeDrug
DB00494,Entacapone,SmallMoleculeDrug
DB00495,Zidovudine,SmallMoleculeDrug
DB00496,Darifenacin,SmallMoleculeDrug
DB00497,Oxycodone,SmallMoleculeDrug
DB00498,Phenindione,SmallMoleculeDrug
DB00499,Flutamide,SmallMoleculeDrug
DB00500,Tolmetin,SmallMoleculeDrug
DB00501,Cimetidine,SmallMoleculeDrug
DB00502,Haloperidol,SmallMoleculeDrug
DB00503,Ritonavir,SmallMoleculeDrug
DB00504,Levallorphan,SmallMoleculeDrug
DB00505,Tridihexethyl,SmallMoleculeDrug
DB00507,Nitazoxanide,SmallMoleculeDrug
DB00508,Triflupromazine,SmallMoleculeDrug
DB00509,Dextrothyroxine,SmallMoleculeDrug
DB00511,Acetyldigitoxin,SmallMoleculeDrug
DB00512,Vancomycin,SmallMoleculeDrug
DB00513,Aminocaproic acid,SmallMoleculeDrug
DB00514,Dextromethorphan,SmallMoleculeDrug
DB00515,Cisplatin,SmallMoleculeDrug
DB00516,Bentoquatam,SmallMoleculeDrug
DB00517,Anisotropine methylbromide,SmallMoleculeDrug
DB00518,Albendazole,SmallMoleculeDrug
DB00519,Trandolapril,SmallMoleculeDrug
DB00520,Caspofungin,SmallMoleculeDrug
DB00521,Carteolol,SmallMoleculeDrug
DB00522,Bentiromide,SmallMoleculeDrug
DB00523,Alitretinoin,SmallMoleculeDrug
DB00524,Metolazone,SmallMoleculeDrug
DB00525,Tolnaftate,SmallMoleculeDrug
DB00526,Oxaliplatin,SmallMoleculeDrug
DB00527,Cinchocaine,SmallMoleculeDrug
DB00528,Lercanidipine,SmallMoleculeDrug
DB00529,Foscarnet,SmallMoleculeDrug
DB00530,Erlotinib,SmallMoleculeDrug
DB00531,Cyclophosphamide,SmallMoleculeDrug
DB00532,Mephenytoin,SmallMoleculeDrug
DB00533,Rofecoxib,SmallMoleculeDrug
DB00534,Chlormerodrin,SmallMoleculeDrug
DB00535,Cefdinir,SmallMoleculeDrug
DB00536,Guanidine,SmallMoleculeDrug
DB00537,Ciprofloxacin,SmallMoleculeDrug
DB00538,Gadoversetamide,SmallMoleculeDrug
DB00539,Toremifene,SmallMoleculeDrug
DB00540,Nortriptyline,SmallMoleculeDrug
DB00541,Vincristine,SmallMoleculeDrug
DB00542,Benazepril,SmallMoleculeDrug
DB00543,Amoxapine,SmallMoleculeDrug
DB00544,Fluorouracil,SmallMoleculeDrug
DB00545,Pyridostigmine,SmallMoleculeDrug
DB00546,Adinazolam,SmallMoleculeDrug
DB00547,Desoximetasone,SmallMoleculeDrug
DB00548,Azelaic acid,SmallMoleculeDrug
DB00549,Zafirlukast,SmallMoleculeDrug
DB00550,Propylthiouracil,SmallMoleculeDrug
DB00551,Acetohydroxamic acid,SmallMoleculeDrug
DB00552,Pentostatin,SmallMoleculeDrug
DB00553,Methoxsalen,SmallMoleculeDrug
DB00554,Piroxicam,SmallMoleculeDrug
DB00555,Lamotrigine,SmallMoleculeDrug
DB00556,Perflutren,SmallMoleculeDrug
DB00557,Hydroxyzine,SmallMoleculeDrug
DB00558,Zanamivir,SmallMoleculeDrug
DB00559,Bosentan,SmallMoleculeDrug
DB00560,Tigecycline,SmallMoleculeDrug
DB00561,Doxapram,SmallMoleculeDrug
DB00562,Benzthiazide,SmallMoleculeDrug
DB00563,Methotrexate,SmallMoleculeDrug
DB00564,Carbamazepine,SmallMoleculeDrug
DB00565,Cisatracurium,SmallMoleculeDrug
DB00566,Succimer,SmallMoleculeDrug
DB00567,Cephalexin,SmallMoleculeDrug
DB00568,Cinnarizine,SmallMoleculeDrug
DB00569,Fondaparinux,SmallMoleculeDrug
DB00570,Vinblastine,SmallMoleculeDrug
DB00571,Propranolol,SmallMoleculeDrug
DB00572,Atropine,SmallMoleculeDrug
DB00573,Fenoprofen,SmallMoleculeDrug
DB00574,Fenfluramine,SmallMoleculeDrug
DB00575,Clonidine,SmallMoleculeDrug
DB00576,Sulfamethizole,SmallMoleculeDrug
DB00577,Valaciclovir,SmallMoleculeDrug
DB00578,Carbenicillin,SmallMoleculeDrug
DB00579,Mazindol,SmallMoleculeDrug
DB00580,Valdecoxib,SmallMoleculeDrug
DB00581,Lactulose,SmallMoleculeDrug
DB00582,Voriconazole,SmallMoleculeDrug
DB00583,Levocarnitine,SmallMoleculeDrug
DB00584,Enalapril,SmallMoleculeDrug
DB00585,Nizatidine,SmallMoleculeDrug
DB00586,Diclofenac,SmallMoleculeDrug
DB00587,Cinalukast,SmallMoleculeDrug
DB00588,Fluticasone propionate,SmallMoleculeDrug
DB00589,Lisuride,SmallMoleculeDrug
DB00590,Doxazosin,SmallMoleculeDrug
DB00591,Fluocinolone acetonide,SmallMoleculeDrug
DB00592,Piperazine,SmallMoleculeDrug
DB00593,Ethosuximide,SmallMoleculeDrug
DB00594,Amiloride,SmallMoleculeDrug
DB00595,Oxytetracycline,SmallMoleculeDrug
DB00596,Ulobetasol,SmallMoleculeDrug
DB00597,Gadoteridol,SmallMoleculeDrug
DB00598,Labetalol,SmallMoleculeDrug
DB00599,Thiopental,SmallMoleculeDrug
DB00600,Monobenzone,SmallMoleculeDrug
DB00601,Linezolid,SmallMoleculeDrug
DB00602,Ivermectin,SmallMoleculeDrug
DB00603,Medroxyprogesterone acetate,SmallMoleculeDrug
DB00604,Cisapride,SmallMoleculeDrug
DB00605,Sulindac,SmallMoleculeDrug
DB00606,Cyclothiazide,SmallMoleculeDrug
DB00607,Nafcillin,SmallMoleculeDrug
DB00608,Chloroquine,SmallMoleculeDrug
DB00609,Ethionamide,SmallMoleculeDrug
DB00610,Metaraminol,SmallMoleculeDrug
DB00611,Butorphanol,SmallMoleculeDrug
DB00612,Bisoprolol,SmallMoleculeDrug
DB00613,Amodiaquine,SmallMoleculeDrug
DB00614,Furazolidone,SmallMoleculeDrug
DB00615,Rifabutin,SmallMoleculeDrug
DB00616,Candoxatril,SmallMoleculeDrug
DB00617,Paramethadione,SmallMoleculeDrug
DB00618,Demeclocycline,SmallMoleculeDrug
DB00619,Imatinib,SmallMoleculeDrug
DB00620,Triamcinolone,SmallMoleculeDrug
DB00621,Oxandrolone,SmallMoleculeDrug
DB00622,Nicardipine,SmallMoleculeDrug
DB00623,Fluphenazine,SmallMoleculeDrug
DB00624,Testosterone,SmallMoleculeDrug
DB00625,Efavirenz,SmallMoleculeDrug
DB00626,Bacitracin,SmallMoleculeDrug
DB00627,Niacin,SmallMoleculeDrug
DB00628,Clorazepic acid,SmallMoleculeDrug
DB00629,Guanabenz,SmallMoleculeDrug
DB00630,Alendronic acid,SmallMoleculeDrug
DB00631,Clofarabine,SmallMoleculeDrug
DB00632,Docosanol,SmallMoleculeDrug
DB00633,Dexmedetomidine,SmallMoleculeDrug
DB00634,Sulfacetamide,SmallMoleculeDrug
DB00635,Prednisone,SmallMoleculeDrug
DB00636,Clofibrate,SmallMoleculeDrug
DB00637,Astemizole,SmallMoleculeDrug
DB00638,Inulin,SmallMoleculeDrug
DB00639,Butoconazole,SmallMoleculeDrug
DB00640,Adenosine,SmallMoleculeDrug
DB00641,Simvastatin,SmallMoleculeDrug
DB00642,Pemetrexed,SmallMoleculeDrug
DB00643,Mebendazole,SmallMoleculeDrug
DB00644,Gonadorelin,SmallMoleculeDrug
DB00645,Dyclonine,SmallMoleculeDrug
DB00646,Nystatin,SmallMoleculeDrug
DB00647,Dextropropoxyphene,SmallMoleculeDrug
DB00648,Mitotane,SmallMoleculeDrug
DB00649,Stavudine,SmallMoleculeDrug
DB00650,Leucovorin,SmallMoleculeDrug
DB00651,Dyphylline,SmallMoleculeDrug
DB00652,Pentazocine,SmallMoleculeDrug
DB00653,Magnesium sulfate,SmallMoleculeDrug
DB00654,Latanoprost,SmallMoleculeDrug
DB00655,Estrone,SmallMoleculeDrug
DB00656,Trazodone,SmallMoleculeDrug
DB00657,Mecamylamine,SmallMoleculeDrug
DB00658,Sevelamer,SmallMoleculeDrug
DB00659,Acamprosate,SmallMoleculeDrug
DB00660,Metaxalone,SmallMoleculeDrug
DB00661,Verapamil,SmallMoleculeDrug
DB00662,Trimethobenzamide,SmallMoleculeDrug
DB00663,Flumethasone,SmallMoleculeDrug
DB00664,Sulfametopyrazine,SmallMoleculeDrug
DB00665,Nilutamide,SmallMoleculeDrug
DB00666,Nafarelin,SmallMoleculeDrug
DB00668,Epinephrine,SmallMoleculeDrug
DB00669,Sumatriptan,SmallMoleculeDrug
DB00670,Pirenzepine,SmallMoleculeDrug
DB00671,Cefixime,SmallMoleculeDrug
DB00672,Chlorpropamide,SmallMoleculeDrug
DB00673,Aprepitant,SmallMoleculeDrug
DB00674,Galantamine,SmallMoleculeDrug
DB00675,Tamoxifen,SmallMoleculeDrug
DB00676,Benzyl benzoate,SmallMoleculeDrug
DB00677,Isoflurophate,SmallMoleculeDrug
DB00678,Losartan,SmallMoleculeDrug
DB00679,Thioridazine,SmallMoleculeDrug
DB00680,Moricizine,SmallMoleculeDrug
