"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL1835298";"";"0";"346.45";"0";"-0.49";"14";"CC(=S)NCCCC[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](C)C(=O)O";"IC50";"'='";"36000.0";"nM";"4.44";"";"";"UO_0000065";"12.83";"0.26";"4.93";"3.33";"False";"CHEMBL1839553";"Inhibition of recombinant GST-tagged SIRT2 after 1 hr by Fluor de Lys-based fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833937";"1";"Scientific Literature";"J. Med. Chem.";"2011";"None";""
"CHEMBL4439944";"";"0";"565.80";"2";"7.91";"Cpd M";"CCCCCCCCCCCCCC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1";"IC50";"'>'";"2000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4305684";"Inhibition of recombinant human SIRT2 defatty-acylase activity using SFP3 as substrate measured at 5 mins interval for 60 mins in presence of NAD+ by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4304758";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL4520707";"";"0";"345.20";"0";"4.17";"BZD9D1";"CCOC(=O)c1ccc2[nH]c(-c3ccc(Br)cc3)nc2c1";"IC50";"'='";"45800.0";"nM";"4.34";"";"";"UO_0000065";"12.57";"0.28";"0.17";"7.89";"False";"CHEMBL4312179";"Inhibition of human recombinant SIRT2 using p53 (317 to 320 residues) conjugated to AMC as substrate incubated for 45 mins in presence of NAD+ by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4311938";"1";"Scientific Literature";"MedChemComm";"2019";"None";""
"CHEMBL4458848";"";"0";"871.96";"2";"-1.71";"RIK(Tfa)RY";"CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)C(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O";"IC50";"'='";"67.0";"nM";"7.17";"";"";"UO_0000065";"8.23";"0.16";"8.88";"1.98";"False";"CHEMBL4305697";"Inhibition of recombinant human SIRT2 deacylation activity using Fluor de Lys Sirt2 as substrate measured at 5 mins interval for 30 mins in presence of NAD+ by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4304758";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL4574491";"";"0";"854.96";"3";"-0.11";"S2DMi-4";"CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(=O)c1ccc(/N=N/c2ccc(N(C)C)cc2)cc1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(C)=O)[C@@H](C)O)C(N)=O";"IC50";"'='";"1200.0";"nM";"5.92";"";"";"UO_0000065";"6.93";"0.13";"6.03";"1.83";"False";"CHEMBL4305697";"Inhibition of recombinant human SIRT2 deacylation activity using Fluor de Lys Sirt2 as substrate measured at 5 mins interval for 30 mins in presence of NAD+ by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4304758";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL3770903";"";"0";"420.56";"1";"5.02";"SirReal2";"Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1";"IC50";"'='";"700.0";"nM";"6.16";"";"";"UO_0000065";"14.64";"0.29";"1.13";"9.08";"False";"CHEMBL4305697";"Inhibition of recombinant human SIRT2 deacylation activity using Fluor de Lys Sirt2 as substrate measured at 5 mins interval for 30 mins in presence of NAD+ by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4304758";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL1254458";"";"0";"425.53";"0";"-0.50";"58";"CNC(=O)[C@H](C)NC(=O)[C@H](CCCCNC(=O)C=C(C)C)NC(=O)[C@H](C)NC(C)=O";"IC50";"'='";"23000.0";"nM";"4.64";"";"";"UO_0000065";"10.90";"0.21";"5.14";"3.19";"False";"CHEMBL1252002";"Inhibition of GST-SIRT2 after 1 hr by Fluor de Lys fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1250463";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2010";"None";""
"CHEMBL492309";"";"0";"445.63";"1";"0.65";"2, KK(thioAc)L";"CC(=S)NCCCC[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)O";"IC50";"'='";"151000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1839553";"Inhibition of recombinant GST-tagged SIRT2 after 1 hr by Fluor de Lys-based fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833937";"1";"Scientific Literature";"J. Med. Chem.";"2011";"None";""
"CHEMBL3769988";"";"0";"370.50";"0";"3.87";"SirReal1";"Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccccc3)s2)n1";"IC50";"'='";"3700.0";"nM";"5.43";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4322644";"Inhibition of human sirtuin 2 (25 to 389 residues) assessed as inhibition of substrate deacetylation using ZMAL as substrate incubated for 4 hrs by fluorescene-based analysis";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4321809";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL3580804";"";"0";"415.97";"1";"5.62";"17";"C[S+]([O-])c1ccc(NC(=O)c2cccc(SCc3ccc(Cl)cc3)c2)cc1";"IC50";"'='";"8400.0";"nM";"5.08";"";"";"UO_0000065";"12.20";"0.26";"-0.54";"10.99";"False";"CHEMBL3582613";"Inhibition of SIRT2 (unknown origin) by Flour-de-Lys fluorescent biochemical assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3580657";"1";"Scientific Literature";"ACS Med. Chem. Lett.";"2015";"None";""
"CHEMBL382277";"EX-527";"2";"250.73";"0";"2.50";"Cpd III; EX-527";"NC(=O)C1CCCC2c3cc(Cl)ccc3NC12";"IC50";"'='";"20000.0";"nM";"4.70";"";"";"UO_0000065";"18.74";"0.38";"2.20";"8.52";"False";"CHEMBL4417383";"Inhibition of SIRT2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4414672";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";""
"CHEMBL4437455";"";"0";"526.75";"2";"5.92";"AF8";"CCCCCCCCNC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1";"IC50";"'='";"61.0";"nM";"7.21";"";"";"UO_0000065";"13.70";"0.27";"1.29";"7.89";"False";"CHEMBL4433520";"Inhibition of recombinant human N-terminal His6-tagged/SUMO-fused SIRT2 (38 to 356 residues) expressed in Escherichia coli BL21 assessed as reduction in deacetylase activity using acetylated H3K9 as substrate preincubated for 15 mins followed by substrate addition and measured after 6 mins by UV-HPLC analysis";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4433206";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL4639515";"";"0";"873.16";"3";"1.31";"7";"CSCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]cn2)NC(C)=O)Cc2ccc(cc2)OCCCCCNC1=O";"IC50";"'='";"115100.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4628180";"Inhibition of His6-tagged human SIRT2 deacetylation activity using SIRT1 acetyl-lysine as substrate in presence of beta-NAD+ after 12 mins by reversed-phase HPLC analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4627291";"1";"Scientific Literature";"Bioorg Med Chem";"2020";"None";""
"CHEMBL4645240";"";"0";"901.21";"3";"2.09";"8";"CSCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]cn2)NC(C)=O)Cc2ccc(cc2)OCCCCCCCNC1=O";"IC50";"'='";"25500.0";"nM";"4.59";"";"";"UO_0000065";"5.10";"0.10";"2.50";"1.83";"False";"CHEMBL4628180";"Inhibition of His6-tagged human SIRT2 deacetylation activity using SIRT1 acetyl-lysine as substrate in presence of beta-NAD+ after 12 mins by reversed-phase HPLC analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4627291";"1";"Scientific Literature";"Bioorg Med Chem";"2020";"None";""
"CHEMBL4076175";"";"0";"285.12";"0";"3.20";"38";"Fc1ccc(-c2noc(CCCBr)n2)cc1";"IC50";"'='";"19800.0";"nM";"4.70";"";"";"UO_0000065";"16.50";"0.40";"1.50";"12.08";"False";"CHEMBL4009913";"Inhibition of human N-terminal His6-SUMO-tagged SIRT2 catalytic domain (43 to 356 residues) deacetylase activity expressed in Escherichia coli using alpha-tubulin-acetylLys40 peptide as substrate after 45 mins in presence of NAD+ by pNCA/GDH-based microplate spectrophotometric analysis";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007450";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4062236";"";"0";"238.67";"0";"2.31";"48";"OCCCc1nc(-c2ccc(Cl)cc2)no1";"IC50";"'='";"41200.0";"nM";"4.38";"";"";"UO_0000065";"18.37";"0.37";"2.08";"7.41";"False";"CHEMBL4009913";"Inhibition of human N-terminal His6-SUMO-tagged SIRT2 catalytic domain (43 to 356 residues) deacetylase activity expressed in Escherichia coli using alpha-tubulin-acetylLys40 peptide as substrate after 45 mins in presence of NAD+ by pNCA/GDH-based microplate spectrophotometric analysis";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007450";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4173707";"";"0";"486.59";"1";"6.21";"9h";"Cc1cc(C)cc(OCC(=O)Nc2cccc(COc3ccc(NC(=O)c4cccs4)cc3)c2)c1";"IC50";"'>'";"301995.17";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4156262";"Inhibition of recombinant His-tagged SIRT2 (56 to 356 residues) (unknown origin) expressed in Escherichia coli Transetta(DE3) using AcIQF as substrate preincubated for 30 mins followed by substrate and NAD+ addition measured after 2 hrs by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4152324";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL4084417";"";"0";"456.50";"1";"5.37";"19";"CC(C)(C)OC(=O)Nc1ccc2c(c1)C(NC(=O)Nc1cccc([N+](=O)[O-])c1)CC(C)(C)O2";"IC50";"'='";"99800.0";"nM";"4.00";"";"";"UO_0000065";"8.76";"0.17";"-1.37";"3.03";"False";"CHEMBL4054429";"Inhibition of N-terminal His-tagged recombinant human SIRT-2 expressed in Escherichia coli using Fluor-de-Lys-SIRT1 as substrate after 15 mins by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4052637";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4583887";"";"0";"381.53";"0";"4.98";"1b";"Cc1cc(C)nc(SCC(=O)Nc2cccc(Sc3ccccc3)c2)n1";"IC50";"'='";"6650.0";"nM";"5.18";"";"";"UO_0000065";"13.57";"0.27";"0.20";"9.43";"False";"CHEMBL4369526";"Inhibition of recombinant SIRT2 (unknown origin) using RLIK(Ac)AMC as substrate assessed as reduction in deacetylase activity after 2 hrs in presence of NAD+ by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4368879";"1";"Scientific Literature";"MedChemComm";"2019";"None";""
"CHEMBL215918";"";"0";"558.63";"1";"4.64";"1";"O=C(/C=C/c1ccc(OCc2ccc(F)cc2)cc1)NC1(C(=O)NCCc2c[nH]c3ccc(F)cc23)CCNCC1";"IC50";"'='";"51000.0";"nM";"4.29";"";"";"UO_0000065";"7.68";"0.14";"-0.35";"4.51";"False";"CHEMBL970634";"Inhibition of recombinant GST-tagged SIRT2 by Fluor de Lys fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139425";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"None";""
"CHEMBL3770903";"";"0";"420.56";"1";"5.02";"SirReal2";"Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1";"IC50";"'='";"210.0";"nM";"6.68";"";"";"UO_0000065";"15.88";"0.31";"1.66";"9.85";"False";"CHEMBL4392971";"Inhibition of recombinant SIRT2 (unknown origin) using FAM-RHKK(Ac)LM as substrate measured after 60 mins by electrophoretic mobility shift assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4392825";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";""
"CHEMBL4456341";"";"0";"581.51";"2";"5.75";"TH-10";"COC(=O)[C@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)NCc1ccc(Br)nc1";"IC50";"'='";"5900.0";"nM";"5.23";"";"";"UO_0000065";"8.99";"0.18";"-0.52";"7.57";"False";"CHEMBL4392971";"Inhibition of recombinant SIRT2 (unknown origin) using FAM-RHKK(Ac)LM as substrate measured after 60 mins by electrophoretic mobility shift assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4392825";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";""
"CHEMBL4464347";"";"0";"545.69";"2";"5.06";"TH-1";"COC(=O)[C@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)NCc1cc(N(C)C)ccn1";"IC50";"'='";"1700.0";"nM";"5.77";"";"";"UO_0000065";"10.57";"0.19";"0.71";"7.98";"False";"CHEMBL4392971";"Inhibition of recombinant SIRT2 (unknown origin) using FAM-RHKK(Ac)LM as substrate measured after 60 mins by electrophoretic mobility shift assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4392825";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";""
"CHEMBL3604372";"";"0";"726.88";"2";"4.66";"HPH-1Trt";"COC(=O)[C@H](Cc1c[nH]cn1)NCc1cc(N(C)C)cc(CN[C@@H](Cc2cn(C(c3ccccc3)(c3ccccc3)c3ccccc3)cn2)C(=O)OC)n1";"IC50";"'='";"5500.0";"nM";"5.26";"";"";"UO_0000065";"7.24";"0.13";"0.60";"3.78";"False";"CHEMBL4392970";"Inhibition of recombinant SIRT2 (unknown origin) using RHKK(Ac)-MCA as substrate measured after 60 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4392825";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";""
"CHEMBL4447813";"";"0";"998.20";"3";"1.38";"S2DMi-7";"CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)C(=O)N[C@@H](CCCCNC(=O)Cc1ccc(/N=N/c2ccccc2)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O";"IC50";"'='";"51.0";"nM";"7.29";"";"";"UO_0000065";"7.31";"0.14";"5.91";"1.89";"False";"CHEMBL4305691";"Inhibition of recombinant human SIRT2 demyristoylase activity using p53(Myr)-AMC as substrate measured after 3 hrs in presence of NAD+ and trypsin by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4304758";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
